species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Curiovirus itacaiunas	E	BeAr427036	KM204984	NC_034536	Complete coding genome			NULL	Itacaiunas virus	ITAV	NULL	1	202201664	invertebrates	ssRNA(-)	1407
Curiovirus rochambeau	E	CaAr16102	KM205012	NC_034534	Complete coding genome			NULL	Rochambeau virus	RBUV	NULL	1	202201665	invertebrates	ssRNA(-)	1408
Cytorhabdovirus medicagonis	E	Manfredi	KP205452	NC_028237	Complete genome			NULL	alfalfa dwarf virus	ADV	NULL	1	202201667	plants	ssRNA(-)	1409
Cytorhabdovirus hordei	E	Hebei	KM213865	NC_028244	Complete genome			NULL	barley yellow striate mosaic virus	BYSMV	NULL	1	202201668	invertebrates, plants	ssRNA(-)	1410
Cytorhabdovirus brassicae	E				No entry in Genbank			NULL	broccoli necrotic yellows virus	BNYV	NULL	1	202201669	invertebrates, plants	ssRNA(-)	1411
Cytorhabdovirus colocasiae	E	SI	KT381973	NC_034551	Complete genome			NULL	Colocasia bobone disease-associated virus	CBDaV	NULL	1	202201670	plants	ssRNA(-)	1412
Cytorhabdovirus festucae	E				No entry in Genbank			NULL	Festuca leaf streak virus	FLSV	NULL	1	202201671	invertebrates, plants	ssRNA(-)	1413
Cytorhabdovirus lactucanecante	E	318	AJ867584	NC_007642	Complete genome			NULL	lettuce necrotic yellows virus	LNYV	NULL	1	202201672	invertebrates, plants	ssRNA(-)	1414
Cytorhabdovirus lactucamaculante	E		EF687738	NC_011532	Complete genome			NULL	lettuce yellow mottle virus	LYMoV	NULL	1	202201673	invertebrates, plants	ssRNA(-)	1415
Cytorhabdovirus gramineae	E	Hebei	AB030277	NC_002251	Complete genome			NULL	northern cereal mosaic virus	NCMV	NULL	1	202201674	invertebrates, plants	ssRNA(-)	1416
Cytorhabdovirus sonchi	E				No entry in Genbank			NULL	Sonchus virus	SonV	NULL	1	202201675	invertebrates, plants	ssRNA(-)	1417
Cytorhabdovirus fragariarugosus	E	A	MH129615	NULL	Complete genome			NULL	strawberry crinkle virus	SCV	NULL	1	202201676	invertebrates, plants	ssRNA(-)	1418
Cytorhabdovirus tritici	E				No entry in Genbank			NULL	wheat American striate mosaic virus	WASMV	NULL	1	202201677	invertebrates, plants	ssRNA(-)	1419
Dichorhavirus coffeae	E	Lavras	RNA1: KF812525; RNA2: KF812526	NC_038756; NC_038755	Complete genome			NULL	coffee ringspot virus	CoRSV	NULL	1	202201679	invertebrates, plants	ssRNA(-)	1420
Dichorhavirus orchidaceae	E	So	RNA1: AB244417; RNA2: AB244418	NC_009609; NC_009608	Complete genome			NULL	orchid fleck virus	OFV	NULL	1	202201680	invertebrates, plants	ssRNA(-)	1421
Ephemerovirus adelaide	E	DPP61	JN935380	NC_028246	Complete genome			NULL	Adelaide River virus	ARV	NULL	1	202201682	invertebrates, vertebrates	ssRNA(-)	1422
Ephemerovirus berrimah	E	DPP 63	HM461974	NC_025358	Complete genome			NULL	Berrimah virus	BRMV	NULL	1	202201683	invertebrates, vertebrates	ssRNA(-)	1423
Ephemerovirus febris	E	BB7721	AF234533	NC_002526	Complete genome			NULL	bovine ephemeral fever virus	BEFV	NULL	1	202201684	invertebrates, vertebrates	ssRNA(-)	1424
Ephemerovirus kimberley	E	CS368	JQ941664	NC_025396	Complete genome			NULL	Kimberley virus	KIMV	NULL	1	202201685	invertebrates, vertebrates	ssRNA(-)	1425
Ephemerovirus koolpinyah	E	DPP819	KM085029	NC_028239	Complete genome			NULL	Koolpinyah virus	KOOLV	NULL	1	202201686	vertebrates	ssRNA(-)	1426
Ephemerovirus kotonkan	E	IbAr23380	HM474855	NC_017714	Complete genome			NULL	kotonkan virus	KOTV	NULL	1	202201687	invertebrates, vertebrates	ssRNA(-)	1427
Ephemerovirus obodhiang	E	SudAr 1154-64	HM856902	NC_017685	Complete genome			NULL	Obodhiang virus	OBOV	NULL	1	202201688	invertebrates	ssRNA(-)	1428
Ephemerovirus yata	E	DakAr B2181	KM085030	NC_028241	Complete genome			NULL	Yata virus	YATV	NULL	1	202201689	invertebrates	ssRNA(-)	1429
Hapavirus flanders	E	61-7484	KM205002	NC_039202	Complete coding genome			NULL	Flanders virus	FLAV	NULL	1	202201691	invertebrates, vertebrates	ssRNA(-)	1430
Hapavirus graylodge	E	BFN3187	KM205022	NC_034541	Complete genome			NULL	Gray Lodge virus	GLOV	NULL	1	202201692	invertebrates, vertebrates	ssRNA(-)	1431
Hapavirus hartpark	E	AR7C	KM205011	NC_034447	Complete genome			NULL	Hart Park virus	HPV	NULL	1	202201693	invertebrates, vertebrates	ssRNA(-)	1432
Hapavirus joinjakaka	E	AusMK7937	KM205016	NC_034538	Complete genome			NULL	Joinjakaka virus	JOIV	NULL	1	202201694	invertebrates, vertebrates	ssRNA(-)	1433
Hapavirus kamese	E	MP6186	KM204989	NC_034450	Complete coding genome			NULL	Kamese virus	KAMV	NULL	1	202201695	invertebrates, vertebrates	ssRNA(-)	1434
Hapavirus lajoya	E	J-134	KM204986	NC_034537	Complete genome			NULL	La Joya virus	LJV	NULL	1	202201696	invertebrates, vertebrates	ssRNA(-)	1435
Hapavirus landjia	E	DakAnB769d	KM205010	NC_034533	Complete coding genome			NULL	Landjia virus	LJAV	NULL	1	202201697	invertebrates, vertebrates	ssRNA(-)	1436
Hapavirus manitoba	E	Mn936-77	KM205008	NC_034531	Complete coding genome			NULL	Manitoba virus	MANV	NULL	1	202201698	invertebrates, vertebrates	ssRNA(-)	1437
Hapavirus marco	E	BeAn40290	KM205005	NC_034530	Complete coding genome			NULL	Marco virus	MCOV	NULL	1	202201699	invertebrates, vertebrates	ssRNA(-)	1438
Hapavirus mosqueiro	E	BeAr185559	KM205014	NC_034448	Complete genome			NULL	Mosqueiro virus	MQOV	NULL	1	202201700	invertebrates, vertebrates	ssRNA(-)	1439
Hapavirus mossuril	E	SAAr1995	KM204993	NC_038275	Complete coding genome			NULL	Mossuril virus	MOSV	NULL	1	202201701	invertebrates, vertebrates	ssRNA(-)	1440
Hapavirus ngaingan	E	MRM14556	FJ715959	NC_013955	Complete genome			NULL	Ngaingan virus	NGAV	NULL	1	202201702	invertebrates, vertebrates	ssRNA(-)	1441
Hapavirus ord	E	OR1023	KM205025	NC_034543	Complete coding genome			NULL	Ord River virus	ORV	NULL	1	202201703	invertebrates	ssRNA(-)	1442
Hapavirus parry	E	OR189	KM204988	NC_034449	Complete coding genome			NULL	Parry Creek virus	PCV	NULL	1	202201704	invertebrates	ssRNA(-)	1443
Hapavirus wongabel	E	CS264	EF612701	NC_011639	Complete genome			NULL	Wongabel virus	WONV	NULL	1	202201705	invertebrates	ssRNA(-)	1444
Ledantevirus barur	E	6235	KM204983	NC_034535	Complete coding genome			NULL	Barur virus	BARV	NULL	1	202201707	invertebrates, vertebrates	ssRNA(-)	1445
Ledantevirus fikirini	E	KEN352	KC676792	NC_025341	Complete coding genome			NULL	Fikirini rhabdovirus	FKRV	NULL	1	202201708	vertebrates	ssRNA(-)	1446
Ledantevirus fukuoka	E	FUK-11	KM205001	NC_034454	Complete genome			NULL	Fukuoka virus	FUKV	NULL	1	202201709	invertebrates	ssRNA(-)	1447
Ledantevirus kern	E	M03790	KM204992	NC_034451	Complete coding genome			NULL	Kern Canyon virus	KCV	NULL	1	202201710	vertebrates	ssRNA(-)	1448
Ledantevirus keuraliba	E	DakAnD5314	KM205021	NC_034540	Complete coding genome			NULL	Keuraliba virus	KEUV	NULL	1	202201711	invertebrates, vertebrates	ssRNA(-)	1449
Ledantevirus kolente	E	DakAr K7292	KC984953	NC_025342	Complete genome			NULL	Kolente virus	KOLEV	NULL	1	202201712	vertebrates	ssRNA(-)	1450
Ledantevirus kumasi	E	M35	KJ179955	NC_028236	Complete coding genome			NULL	Kumasi rhabdovirus	KRV	NULL	1	202201713	vertebrates	ssRNA(-)	1451
Ledantevirus ledantec	E	DakHD763	KM205006	NC_034443	Complete coding genome			NULL	Le Dantec virus	LDV	NULL	1	202201714	invertebrates, vertebrates	ssRNA(-)	1452
Ledantevirus elgon	E	BP846	KM205026	NC_034545	Complete coding genome			NULL	Mount Elgon bat virus	MEBV	NULL	1	202201715	vertebrates	ssRNA(-)	1453
Ledantevirus nishimuro	E		AB609604	NC_038276	Complete coding genome			NULL	Nishimuro virus	NISV	NULL	1	202201716	vertebrates	ssRNA(-)	1454
Ledantevirus nkolbisson	E	YM 31-65	KM205017	NC_034539	Complete coding genome			NULL	Nkolbisson virus	NKOV	NULL	1	202201717	invertebrates, vertebrates	ssRNA(-)	1455
Ledantevirus oita	E	296-1972	KM204998	NC_034548	Complete coding genome			NULL	Oita virus	OITAV	NULL	1	202201718	vertebrates	ssRNA(-)	1456
Ledantevirus wuhan	E	BFJSC-5	KM817654	NC_031301	Complete coding genome			NULL	Wuhan louse fly virus 5	WhLFV-5	NULL	1	202201719	invertebrates	ssRNA(-)	1457
Ledantevirus yongjia	E	YJ1-2	KM817662	NC_031305	Complete coding genome			NULL	Yongjia tick virus 2	YjTV-2	NULL	1	202201720	invertebrates	ssRNA(-)	1458
Lyssavirus aravan	E		EF614259	NC_020808	Complete genome			NULL	Aravan virus	ARAV	NULL	1	202201722	vertebrates	ssRNA(-)	1459
Lyssavirus australis	E	insectivorous	AF081020	NC_003243	Complete coding genome			NULL	Australian bat lyssavirus	ABLV	NULL	1	202201723	vertebrates	ssRNA(-)	1460
Lyssavirus bokeloh	E	21961	JF311903	NC_025251	Complete genome			NULL	Bokeloh bat lyssavirus	BBLV	NULL	1	202201724	vertebrates	ssRNA(-)	1461
Lyssavirus duvenhage	E	86132SA	EU293119	NC_020810	Complete genome			NULL	Duvenhage virus	DUVV	NULL	1	202201725	vertebrates	ssRNA(-)	1462
Lyssavirus hamburg	E	RV9	EF157976	NC_009527	Complete genome			NULL	European bat lyssavirus 1	EBLV-1	NULL	1	202201726	vertebrates	ssRNA(-)	1463
Lyssavirus helsinki	E	RV1333	EF157977	NC_009528	Complete genome			NULL	European bat lyssavirus 2	EBLV-2	NULL	1	202201727	vertebrates	ssRNA(-)	1464
Lyssavirus ikoma	E	RV2508	JX193798	NC_018629	Complete genome			NULL	Ikoma lyssavirus	IKOV	NULL	1	202201728	vertebrates	ssRNA(-)	1465
Lyssavirus irkut	E		EF614260	NC_020809	Complete genome			NULL	Irkut virus	IRKV	NULL	1	202201729	vertebrates	ssRNA(-)	1466
Lyssavirus khujand	E		EF614261	NC_025385	Complete genome			NULL	Khujand virus	KHUV	NULL	1	202201730	vertebrates	ssRNA(-)	1467
Lyssavirus lagos	E	0406SEN	EU293108	NC_020807	Complete genome			NULL	Lagos bat virus	LBV	NULL	1	202201731	vertebrates	ssRNA(-)	1468
Lyssavirus mokola	E		Y09762	NC_006429	Complete genome			NULL	Mokola virus	MOKV	NULL	1	202201732	vertebrates	ssRNA(-)	1469
Lyssavirus rabies	E		M13215	NC_001542	Complete genome			NULL	rabies virus	RABV	NULL	1	202201733	vertebrates	ssRNA(-)	1470
Lyssavirus shimoni	E	Shimoni	GU170201	NC_025365	Complete genome			NULL	Shimoni bat virus	SHIBV	NULL	1	202201734	vertebrates	ssRNA(-)	1471
Lyssavirus caucasicus	E		EF614258	NC_025377	Complete genome			NULL	West Caucasian bat virus	WCBV	NULL	1	202201735	vertebrates	ssRNA(-)	1472
Novirhabdovirus hirame	E	CA 9703	AF104985	NC_005093	Complete genome			NULL	hirame rhabdovirus	HIRRV	NULL	1	202201737	vertebrates	ssRNA(-)	1473
Novirhabdovirus piscine	E	Fil3	Y18263	NC_000855	Complete genome			NULL	viral hemorrhagic septicemia virus	VHSV	NULL	1	202201738	vertebrates	ssRNA(-)	1474
Novirhabdovirus salmonid	E	WRAC	L40883	NC_001652	Complete genome			NULL	infectious hematopoietic necrosis virus	IHNV	NULL	1	202201739	vertebrates	ssRNA(-)	1475
