prev_taxid	new_taxid	proposal	notes	is_merged	is_split	is_moved	is_promoted	is_demoted	is_renamed	is_new	is_deleted	is_now_type	is_lineage_updated	msl
\N	19710256	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710257	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710258	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710259	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710260	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710261	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710262	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710263	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710264	"ICTV 1st Report.pdf"	" p29"	0	0	0	0	0	0	1	0	0	0	1
\N	19710265	"ICTV 1st Report.pdf"	" p29"	0	0	0	0	0	0	1	0	0	0	1
\N	19710266	"ICTV 1st Report.pdf"	" p29"	0	0	0	0	0	0	1	0	0	0	1
\N	19710267	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710268	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710269	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710270	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710271	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710272	"ICTV 1st Report.pdf"	" p29"	0	0	0	0	0	0	1	0	0	0	1
\N	19710273	"ICTV 1st Report.pdf"	" p29"	0	0	0	0	0	0	1	0	0	0	1
\N	19710274	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710275	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710276	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710277	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
\N	19710278	"ICTV 1st Report.pdf"	" p29"	0	0	0	0	0	0	1	0	0	0	1
\N	19710279	"ICTV 1st Report.pdf"	" p28"	0	0	0	0	0	0	1	0	0	0	1
